"","AlexaF","SiriF","CortanaF","SiriM","GoogleF","RobotM"
"faceGender",0.0710622710622711,0.109462758996984,0.166127989657401,0.902255639097744,0.214608922957141,0.93956043956044
"faceStyle",0.0531135531135531,0.090964590964591,0.111829347123465,0.118854829381145,0.159340659340659,0.0653556969346443
"skinDetails",0.315018315018315,0.326617828946702,0.294764059469942,0.448525159051475,0.275694893341952,0.454887218045113
"skinColor",0.654578754578755,0.642246644575517,0.73464770523594,0.688548293811452,0.662895930067678,0.577790630422209
"hairColor",0.443223443223443,0.591575091575092,0.432773109243697,0.409485251590515,0.595669039311375,0.366685945633314
"eyeColor",0.390964593759241,0.308709811038684,0.357142857142857,0.385386545487583,0.449687569800494,0.291690767581279
"eyeShape",0.438827838827839,0.508852261181134,0.482223658694247,0.551185658655117,0.532643829227341,0.457200698455405
"eyeOpening",0.413919413919414,0.502442002442002,0.516806722689076,0.476286873230016,0.444408535109694,0.428860617483745
"eyeSize",0.45970695970696,0.528083030411903,0.504524889343696,0.489589360216713,0.522947643060567,0.500289188912316
"eyeHeight",0.446153846153846,0.485653235653236,0.538784747132965,0.548293813658009,0.506140920371491,0.473105845939499
"eyeDistance",0.424908424908425,0.487179489508362,0.488041372860179,0.521688839684614,0.493212669683258,0.505494509907111
"eyeDepth",0.511721611721612,0.446275946275946,0.505494505494505,0.503470216202832,0.500323208671427,0.529496823383108
"eyeRotation",0.451282051282051,0.508852261181134,0.419198451076081,0.506651245699651,0.5029088583159,0.49103528492157
"eyebrowsColor",0.475457878252526,0.520451772780645,0.448610213316096,0.52573741826796,0.500323211137294,0.482359749930245
"eyebrowsShape",0.485714285714286,0.493284497942243,0.529088560966191,0.492770389713532,0.564641243577697,0.498264895208038
"eyebrowsLine",0.474725274725275,0.51495726728614,0.522301230649449,0.57345286513285,0.544925667504457,0.638808564273797
"noseShape",0.42014652014652,0.47954822954823,0.479314802844215,0.54973973395026,0.461215255332902,0.508964719491035
"noseLength",0.445787545787546,0.483211233211233,0.486748545572075,0.498264893001735,0.432773109243697,0.506651243493349
"noseWidth",0.434798534798535,0.432844935173808,0.455720749838397,0.46443030653557,0.448610213316096,0.51764025448236
"noseBridge",0.46007326007326,0.460927963256836,0.433096315449257,0.563331405436669,0.452165481577246,0.539618276460382
"noseCartilage",0.476923076923077,0.518620268620269,0.51131221719457,0.497975708502024,0.53425985778927,0.446211683053788
"foreheadHeight",0.461172161172161,0.515873015873016,0.5029088583159,0.531521112674782,0.554945054945055,0.576344710129958
"cheeksBone",0.527838827838828,0.58028083028083,0.566515852885625,0.584152689415847,0.538461538461538,0.524580680269117
"jawShape",0.373626373626374,0.353479853479853,0.387847446670976,0.466454598033545,0.424046541693601,0.488143437718159
"jawChin",0.41025641025641,0.461843711843712,0.44311570782159,0.605937933494343,0.444085326438268,0.574031231925969
"jawLength",0.437728937728938,0.385531135531135,0.423723335488041,0.518507807981492,0.404977375565611,0.528050898678252
"throatSize",0.391941391941392,0.401404153733026,0.424692956570586,0.502024293704278,0.41564318281493,0.53441295767189
"earSize",0.426007326007326,0.504884004884005,0.433096317915124,0.500867555705435,0.503232062055591,0.544245230662057
"mouthVolume",0.453846153846154,0.481990231990232,0.569489336661084,0.466454600239848,0.52941176717175,0.474840948525159
"lipRatio",0.451648351648352,0.522588522588523,0.467032969498835,0.565355699140947,0.570458955277762,0.562174667437825
"mouthOverlap",0.486080586080586,0.532661782661783,0.565934068399934,0.521110470685192,0.510342598577893,0.428571430777731
"mouthWidth",0.463003663003663,0.537851037851038,0.499353590054749,0.528340083177963,0.47737556561086,0.415558128290745
"mouthHeight",0.469230769230769,0.463980463980464,0.476082743254491,0.532099481674203,0.499030381383323,0.539907460960093
"mouthDepth",0.443956043956044,0.478632478632479,0.516806725154943,0.52747252967883,0.49256625727214,0.497397339502603
"eyeShadow",0.215384615384615,0.17002442002442,0.267291531997414,0.0526315789473684,0.276018099547511,0.0812608444187392
"lipStick",0.158241758241758,0.218864468864469,0.292501616031028,0.0772122614227877,0.308661926308985,0.0780798149219202
"rouge",0.191575091575092,0.227106227106227,0.248222365869425,0.0526315789473684,0.330963154492566,0.0936957779063042
